group,track_id,previous_frame,current_frame,frame_gap,dx,dy,center_distance
zm1_1,5,78,79,1,0.0,0.0,0.0
zm1_1,5,79,80,1,0.0,0.0,0.0
zm1_1,5,80,81,1,0.0,0.0,0.0
zm1_1,5,81,82,1,-0.5,0.0,0.5
zm1_1,5,82,83,1,0.0,0.0,0.0
zm1_1,5,83,84,1,0.0,0.0,0.0
zm1_1,5,84,85,1,0.0,0.0,0.0
zm1_1,5,85,86,1,0.0,0.0,0.0
zm1_1,5,86,87,1,0.0,0.0,0.0
zm1_1,5,87,88,1,0.0,0.0,0.0
zm1_1,5,88,89,1,-0.5,-0.5,0.7071067811865476
zm1_1,5,89,90,1,0.0,0.0,0.0
zm1_1,5,90,91,1,0.0,0.0,0.0
zm1_1,5,91,92,1,-0.5,0.0,0.5
zm1_1,5,92,93,1,0.0,0.0,0.0
zm1_1,5,93,94,1,-0.5,0.0,0.5
zm1_1,5,94,95,1,0.0,0.0,0.0
zm1_1,5,95,96,1,0.0,0.0,0.0
zm1_1,5,96,97,1,-0.5,0.0,0.5
zm1_1,6,1,2,1,0.0,0.0,0.0
zm1_1,6,2,3,1,0.0,-0.5,0.5
zm1_1,6,3,4,1,-0.5,-0.5,0.7071067811865476
zm1_1,6,4,5,1,-0.5,0.0,0.5
zm1_1,6,5,6,1,0.0,0.0,0.0
zm1_1,6,6,7,1,-0.5,-1.0,1.118033988749895
zm1_1,6,7,8,1,0.0,0.0,0.0
zm1_1,6,8,9,1,0.0,0.0,0.0
zm1_1,6,9,10,1,0.5,0.0,0.5
zm1_1,6,10,11,1,0.0,0.0,0.0
zm1_1,6,11,12,1,0.0,0.0,0.0
zm1_1,6,12,13,1,0.0,0.0,0.0
zm1_1,6,13,14,1,-0.5,0.0,0.5
zm1_1,6,14,15,1,0.0,0.0,0.0
zm1_1,6,15,16,1,0.0,0.0,0.0
zm1_1,6,16,17,1,0.0,0.0,0.0
zm1_1,6,17,18,1,0.0,0.0,0.0
zm1_1,6,18,19,1,0.5,0.0,0.5
zm1_1,6,19,20,1,0.0,-0.5,0.5
zm1_1,6,20,21,1,0.0,0.0,0.0
zm1_1,6,21,22,1,0.0,0.0,0.0
zm1_1,6,22,23,1,0.0,0.0,0.0
zm1_1,6,23,24,1,-0.5,0.0,0.5
zm1_1,6,24,25,1,0.0,0.0,0.0
zm1_1,6,25,26,1,0.0,0.0,0.0
zm1_1,6,26,27,1,0.0,0.0,0.0
zm1_1,6,27,28,1,0.0,0.0,0.0
zm1_1,6,28,29,1,0.0,0.0,0.0
zm1_1,6,29,30,1,0.0,0.0,0.0
zm1_1,6,30,31,1,0.0,0.0,0.0
zm1_1,6,31,32,1,0.0,0.0,0.0
zm1_1,6,32,33,1,0.0,0.0,0.0
zm1_1,6,33,34,1,0.0,0.0,0.0
zm1_1,6,34,35,1,0.0,0.0,0.0
zm1_1,6,35,36,1,0.0,0.0,0.0
zm1_1,6,36,37,1,0.0,0.0,0.0
zm1_1,6,37,38,1,0.0,0.0,0.0
zm1_1,6,38,39,1,0.0,0.0,0.0
zm1_1,6,39,40,1,0.0,0.0,0.0
zm1_1,6,40,41,1,0.0,0.0,0.0
zm1_1,6,41,42,1,0.0,0.0,0.0
zm1_1,6,42,43,1,0.0,0.0,0.0
zm1_1,6,43,44,1,0.0,0.0,0.0
zm1_1,6,44,45,1,0.0,0.0,0.0
