group,track_id,transitions,transition_sequence
zm5_8,5,1,zm_im -> zm_el
zm5_8,6,1,zm_im -> zm_el
zm5_8,7,1,zm_im -> zm_el
zm5_8,8,1,zm_im -> zm_el
zm5_8,9,0,
zm5_8,10,1,zm_im -> zm_el
zm5_8,11,1,zm_im -> zm_el
zm5_9,1,1,zm_im -> zm_el
zm5_9,2,1,zm_im -> zm_el
zm5_9,3,1,zm_im -> zm_el
zm5_9,4,1,zm_im -> zm_el
zm5_9,5,0,
zm5_9,6,1,zm_im -> zm_el
zm5_9,7,1,zm_im -> zm_el
zm5_9,8,1,zm_im -> zm_el
zm5_9,9,0,
zm5_9,10,0,
zm6_1,1,0,
zm6_1,2,1,zm_im -> zm_el
zm6_1,3,1,zm_im -> zm_el
zm6_1,4,1,zm_im -> zm_el
zm6_1,5,1,zm_im -> zm_el
zm6_1,6,1,zm_im -> zm_el
zm6_1,7,0,
zm6_1,8,1,zm_im -> zm_el
zm6_1,9,1,zm_im -> zm_el
zm6_1,10,1,zm_im -> zm_el
zm6_10,1,0,
zm6_10,2,1,zm_im -> zm_el
zm6_10,3,1,zm_im -> zm_el
zm6_10,4,1,zm_im -> zm_el
zm6_10,5,1,zm_im -> zm_el
zm6_10,6,0,
zm6_10,7,1,zm_im -> zm_el
zm6_10,8,1,zm_im -> zm_el
zm6_10,9,1,zm_im -> zm_el
zm6_10,10,1,zm_im -> zm_el
zm6_11,1,1,zm_im -> zm_el
zm6_11,2,1,zm_im -> zm_el
zm6_11,3,1,zm_im -> zm_el
zm6_11,4,1,zm_im -> zm_el
zm6_11,5,0,
zm6_11,6,1,zm_im -> zm_el
zm6_11,7,1,zm_im -> zm_el
zm6_11,8,1,zm_im -> zm_el
zm6_11,9,0,
zm6_11,10,0,
zm6_12,1,0,
zm6_12,2,1,zm_im -> zm_el
zm6_12,3,1,zm_im -> zm_el
zm6_12,4,0,
zm6_12,5,1,zm_im -> zm_el
zm6_12,6,0,
zm6_12,7,1,zm_im -> zm_el
zm6_12,8,0,
zm6_12,9,0,
zm6_12,10,1,zm_im -> zm_el
zm6_2,1,1,zm_im -> zm_el
zm6_2,2,1,zm_im -> zm_el
zm6_2,3,1,zm_im -> zm_el
zm6_2,4,1,zm_im -> zm_el
zm6_2,5,0,
zm6_2,6,1,zm_im -> zm_el
zm6_2,7,1,zm_im -> zm_el
zm6_2,8,1,zm_im -> zm_el
zm6_2,9,1,zm_im -> zm_el
zm6_2,10,1,zm_im -> zm_el
zm6_3,1,1,zm_im -> zm_el
zm6_3,2,1,zm_im -> zm_el
zm6_3,3,1,zm_im -> zm_el
zm6_3,4,0,
zm6_3,5,1,zm_im -> zm_el
zm6_3,6,1,zm_im -> zm_el
zm6_3,7,1,zm_im -> zm_el
zm6_3,8,1,zm_im -> zm_el
zm6_3,9,1,zm_im -> zm_el
zm6_3,10,1,zm_im -> zm_el
zm6_4,1,1,zm_im -> zm_el
zm6_4,2,1,zm_im -> zm_el
zm6_4,3,1,zm_im -> zm_el
zm6_4,4,0,
zm6_4,5,1,zm_im -> zm_el
zm6_4,6,1,zm_im -> zm_el
zm6_4,7,1,zm_im -> zm_el
zm6_4,8,1,zm_im -> zm_el
zm6_4,9,1,zm_im -> zm_el
zm6_4,10,1,zm_im -> zm_el
zm6_5,1,1,zm_im -> zm_el
zm6_5,2,0,
zm6_5,3,1,zm_im -> zm_el
zm6_5,4,1,zm_im -> zm_el
zm6_5,5,1,zm_im -> zm_el
zm6_5,6,1,zm_im -> zm_el
zm6_5,7,1,zm_im -> zm_el
zm6_5,8,1,zm_im -> zm_el
zm6_5,9,0,
zm6_5,10,1,zm_im -> zm_el
zm6_6,1,1,zm_im -> zm_el
zm6_6,2,0,
zm6_6,3,0,
zm6_6,4,1,zm_im -> zm_el
zm6_6,5,1,zm_im -> zm_el
zm6_6,6,0,
zm6_6,7,0,
zm6_6,8,0,
zm6_6,9,1,zm_im -> zm_el
zm6_6,10,0,
zm6_7,1,1,zm_im -> zm_el
zm6_7,2,1,zm_im -> zm_el
zm6_7,3,1,zm_im -> zm_el
zm6_7,4,1,zm_im -> zm_el
zm6_7,5,1,zm_im -> zm_el
zm6_7,6,1,zm_im -> zm_el
zm6_7,7,1,zm_im -> zm_el
zm6_7,8,1,zm_im -> zm_el
zm6_7,9,1,zm_im -> zm_el
zm6_7,10,0,
zm6_8,1,1,zm_im -> zm_el
zm6_8,2,1,zm_im -> zm_el
zm6_8,3,1,zm_im -> zm_el
zm6_8,4,1,zm_im -> zm_el
zm6_8,5,1,zm_im -> zm_el
zm6_8,6,1,zm_im -> zm_el
zm6_8,7,1,zm_im -> zm_el
zm6_8,8,1,zm_im -> zm_el
zm6_8,9,1,zm_im -> zm_el
zm6_8,10,1,zm_im -> zm_el
zm6_9,1,1,zm_im -> zm_el
zm6_9,2,0,
zm6_9,3,1,zm_im -> zm_el
zm6_9,4,1,zm_im -> zm_el
zm6_9,5,1,zm_im -> zm_el
zm6_9,6,1,zm_im -> zm_el
zm6_9,7,1,zm_im -> zm_el
zm6_9,8,1,zm_im -> zm_el
zm6_9,9,0,
zm6_9,10,1,zm_im -> zm_el
zm7_1,1,1,zm_im -> zm_el
zm7_1,2,1,zm_im -> zm_el
zm7_1,3,1,zm_im -> zm_el
zm7_1,4,1,zm_im -> zm_el
zm7_1,5,1,zm_im -> zm_el
zm7_1,6,1,zm_im -> zm_el
zm7_1,7,1,zm_im -> zm_el
zm7_1,8,1,zm_im -> zm_el
zm7_1,9,1,zm_im -> zm_el
zm7_1,10,1,zm_im -> zm_el
zm7_10,1,1,zm_im -> zm_el
zm7_10,2,1,zm_im -> zm_el
zm7_10,3,1,zm_im -> zm_el
zm7_10,4,1,zm_im -> zm_el
zm7_10,5,0,
zm7_10,6,0,
zm7_10,7,1,zm_im -> zm_el
zm7_10,8,0,
zm7_10,9,1,zm_im -> zm_el
zm7_10,10,0,
zm7_11,1,1,zm_im -> zm_el
zm7_11,2,1,zm_im -> zm_el
zm7_11,3,1,zm_im -> zm_el
zm7_11,4,1,zm_im -> zm_el
zm7_11,5,1,zm_im -> zm_el
zm7_11,6,1,zm_im -> zm_el
zm7_11,7,1,zm_im -> zm_el
zm7_11,8,0,
zm7_11,9,0,
zm7_11,10,1,zm_im -> zm_el
zm7_12,1,1,zm_im -> zm_el
zm7_12,2,1,zm_im -> zm_el
zm7_12,3,1,zm_im -> zm_el
zm7_12,4,1,zm_im -> zm_el
zm7_12,5,1,zm_im -> zm_el
zm7_12,6,1,zm_im -> zm_el
zm7_12,7,1,zm_im -> zm_el
