group,track_id,total_frames,mean_match_cost,max_match_cost,mean_center_distance,max_center_distance,mean_iou,min_iou,suspicious,suspicion_reason
zm2_4,2,97,0.000803937355574201,0.0097873060612809,0.00011765332314894432,0.0011331839442092,0.997921535155636,0.9741407528641572,False,
zm2_4,3,97,0.00036140520145273093,0.0099890205441281,4.330756581350103e-05,0.0011331839442092,0.9990478420466458,0.973564425770308,False,
zm2_4,4,97,0.0002574739312619474,0.0097699703734525,3.646422781500206e-05,0.0011331839442092,0.9993320794766223,0.9741902834008096,False,
zm2_4,5,97,0.001078622087817336,0.0103483119879784,0.00016379549237332373,0.0011331839442092,0.9972224142349294,0.9725378787878788,False,
zm2_4,6,97,0.00359041433173293,0.0262734780118233,0.0005591274111723267,0.0043150359031526,0.9907800528157973,0.932946558072074,False,
zm2_4,7,97,0.0018565894951934783,0.0143983463638619,0.00025324522741120513,0.0016025641025641,0.9951657711503538,0.960349962769918,False,
zm2_4,8,97,0.0007548805468264124,0.0092769607843137,0.00013217023526301133,0.0016025641025641,0.9980886574459845,0.976470588235294,False,
zm2_4,9,97,0.0006298837715830969,0.0100822813232408,9.771037474181856e-05,0.0011331839442092,0.9983817942057116,0.9732979664014146,False,
zm2_4,10,97,0.001696025554690341,0.0537813151203974,0.0002713993529546835,0.0083656302154731,0.9956582400706577,0.8618752700561717,False,
zm2_5,1,97,0.0013059746463714504,0.0099407218128709,0.0001968380511890763,0.0011331839442092,0.9966342002482897,0.9737024221453288,False,
zm2_5,2,97,0.0017793282068455905,0.010120447404645,0.0002911267569316474,0.0016025641025641,0.995456869100457,0.9731889204545454,False,
zm2_5,3,97,0.0011407328278503599,0.0080459770114942,0.0001899947131905773,0.000801282051282,0.9970936106734957,0.9770114942528736,False,
zm2_5,4,97,0.0008649153679762764,0.0091390139111825,0.00014385254396619794,0.0011331839442092,0.9977959679588622,0.9759930161501528,False,
zm2_5,5,97,0.0017657686196711978,0.0099802927927927,0.0002731881758183299,0.0011331839442092,0.9954622962703163,0.972972972972973,False,
zm2_5,6,97,0.0008288863398768598,0.0087339743589743,0.0001239095955590732,0.0016025641025641,0.9978618711349615,0.976470588235294,False,
