group,frame,pg_im_count,pg_el_count,total_objects
pg1_5,19,10,0,10
pg1_5,20,10,0,10
pg1_5,21,10,0,10
pg1_5,22,10,0,10
pg1_5,23,10,0,10
pg1_5,24,9,1,10
pg1_5,25,8,2,10
pg1_5,26,5,5,10
pg1_5,27,4,6,10
pg1_5,28,4,6,10
pg1_5,29,4,6,10
pg1_5,30,4,6,10
pg1_5,31,4,6,10
pg1_5,32,4,6,10
pg1_5,33,4,6,10
pg1_5,34,4,6,10
pg1_5,35,4,6,10
pg1_5,36,4,6,10
pg1_5,37,4,6,10
pg1_5,38,4,6,10
pg1_5,39,4,6,10
pg1_5,40,4,6,10
pg1_5,41,4,6,10
pg1_5,42,4,6,10
pg1_5,43,4,6,10
pg1_5,44,4,6,10
pg1_5,45,4,6,10
pg1_5,46,4,6,10
pg1_5,47,4,6,10
pg1_5,48,4,6,10
pg1_5,49,4,6,10
pg1_5,50,4,6,10
pg1_5,51,4,6,10
pg1_5,52,4,6,10
pg1_5,53,4,6,10
pg1_5,54,4,6,10
pg1_5,55,4,6,10
pg1_5,56,4,6,10
pg1_5,57,4,6,10
pg1_5,58,4,6,10
pg1_5,59,4,6,10
pg1_5,60,4,6,10
pg1_5,61,4,6,10
pg1_5,62,4,6,10
pg1_5,63,4,6,10
pg1_5,64,4,6,10
pg1_5,65,4,6,10
pg1_5,66,4,6,10
pg1_5,67,4,6,10
pg1_5,68,4,6,10
pg1_5,69,4,6,10
pg1_5,70,4,6,10
pg1_5,71,4,6,10
pg1_5,72,4,6,10
pg1_5,73,4,6,10
pg1_5,74,4,6,10
pg1_5,75,4,6,10
pg1_5,76,4,6,10
pg1_5,77,4,6,10
pg1_5,78,4,6,10
pg1_5,79,4,6,10
pg1_5,80,4,6,10
pg1_5,81,4,6,10
pg1_5,82,4,6,10
pg1_5,83,4,6,10
pg1_5,84,4,6,10
pg1_5,85,4,6,10
pg1_5,86,4,6,10
pg1_5,87,4,6,10
pg1_5,88,4,6,10
pg1_5,89,4,6,10
pg1_5,90,4,6,10
pg1_5,91,4,6,10
pg1_5,92,4,6,10
pg1_5,93,4,6,10
pg1_5,94,4,6,10
pg1_5,95,4,6,10
pg1_5,96,4,6,10
pg1_5,97,4,6,10
pg1_6,1,10,0,10
pg1_6,2,10,0,10
pg1_6,3,10,0,10
pg1_6,4,10,0,10
pg1_6,5,10,0,10
pg1_6,6,10,0,10
pg1_6,7,10,0,10
pg1_6,8,10,0,10
pg1_6,9,10,0,10
pg1_6,10,10,0,10
pg1_6,11,8,2,10
pg1_6,12,8,2,10
pg1_6,13,6,4,10
pg1_6,14,5,5,10
pg1_6,15,4,6,10
pg1_6,16,4,6,10
pg1_6,17,4,6,10
pg1_6,18,4,6,10
pg1_6,19,4,6,10
pg1_6,20,4,6,10
pg1_6,21,4,6,10
pg1_6,22,4,6,10
pg1_6,23,4,6,10
pg1_6,24,4,6,10
pg1_6,25,4,6,10
pg1_6,26,4,6,10
pg1_6,27,4,6,10
